id_number,space_group
1003402,166
1003403,7
1003437,13
1003483,2
1003484,2
1003485,12
1003486,227
1003545,2
1003548,5
1003549,6
10036,221
1003635,83
1003636,14
1003637,8
1003638,13
1003639,7
1003641,13
10037,221
1003735,15
1003736,86
1003764,1
1003765,9
1003766,26
1003767,9
1003769,12
1003770,14
1003771,9
10038,221
1003854,119
1003856,227
10039,221
1003920,62
1003923,1
1004,221
10040,221
1004037,62
1004038,14
10041,221
1004373,62
1004375,44
1004376,20
1004377,221
10044,216
10045,193
1004524,221
1004525,225
1004526,186
1004528,8
1004530,5
1004532,15
10046,194
10047,193
1004753,225
1004756,225
1004758,12
1004762,36
10048,123
10049,189
1005,62
10051,225
10052,194
10054,225
10055,71
10056,191
1005666,194
1005689,71
1005690,174
1005693,225
10057,63
1005719,221
1005727,221
1005752,194
1005753,12
1005754,14
1005755,71
1005760,194
1005761,194
1005762,194
1005789,63
1005792,62
1005829,174
1005831,15
1005895,194
10059,191
1005955,194
1005986,194
10060,221
1006056,225
1006057,225
1006058,15
1006059,194
1006068,225
1006099,142
10061,221
1006112,225
1006115,221
1006118,2
1006127,194
1006132,194
1006146,164
1006150,225
1006151,225
1006164,194
10062,123
1006223,225
1006226,61
1006242,166
1006245,221
1006246,221
1006256,225
1006258,194
1006277,140
1006278,225
1006282,186
1006283,174
10063,122
1006321,129
1006322,86
1006323,194
1006324,11
1006328,186
1006330,221
1006351,194
1006352,15
1006367,62
1006368,62
1006371,62
1006372,2
1006390,15
1006399,194
10064,225
10065,191
1006574,174
1006588,11
1006591,2
1006593,1
1006594,8
1006611,1
1006613,1
1006615,224
1006616,2
1006617,2
1006619,14
1008752,221
1008753,216
1008754,164
1008755,191
1008762,187
1008776,166
1008777,164
1008785,225
1008786,225
1008798,187
1008802,123
1008805,187
1008806,139
1008807,216
1008809,187
1008813,216
1008820,225
1008823,38
1008826,225
1008832,187
1008833,225
1008835,187
1008858,216
1008860,139
1008865,191
1008866,216
1008867,216
1008872,216
1008873,216
1008874,216
1008875,216
1008876,216
1008881,123
10089,64
1008901,225
1008902,21
1008903,216
1008910,164
1008911,216
1008912,216
1008918,225
1008920,216
1008921,216
1008922,225
1008923,221
1008924,221
1008925,107
1008926,216
1008927,107
1008928,221
1008929,225
1008931,221
1008965,187
1008985,221
1008986,225
1008987,216
1008998,221
1008999,221
1009,63
1009005,221
1009006,216
1009007,221
1009008,221
1009009,221
1009014,216
1009015,187
1009016,221
1009017,221
1009018,221
1009019,221
1009020,216
1009048,216
1009049,187
1009071,139
1009077,225
1009078,225
1009079,225
1009080,164
1009082,122
1009083,122
1009084,122
1009085,122
1009086,122
1009087,122
1009088,122
10091,40
1009113,164
1009127,221
1009128,221
1009129,187
1009130,216
1009131,216
1009132,216
1009133,221
1009134,123
1009135,216
10092,123
1009206,221
1009207,221
1009213,216
1009217,225
1009218,216
1009219,187
1009220,221
1009221,225
1009222,216
1009223,123
1009230,123
1009237,221
1009238,139
1009264,221
10094,12
1009458,216
1009459,221
1009460,191
1009471,221
1009483,221
1009485,221
1009488,225
1009489,225
1009490,12
1009491,216
1009493,221
1009494,216
1009495,225
1009496,216
1009504,187
1009533,225
1009537,221
1009538,216
1009539,225
1009540,216
1009541,216
1009543,216
1009544,216
1009545,225
1009547,216
1009548,225
1009551,187
1009555,225
1009581,164
1009582,225
1009583,123
1006884,221
1006885,166
1006886,221
1006887,225
1006888,166
1006891,166
10069,204
1007,225
10070,19
10074,122
10076,71
1007636,166
1007637,123
1007652,186
1007656,221
1007657,221
1007660,131
1007661,186
1007663,166
1007664,139
1007665,166
1007666,63
1007685,166
1007690,221
1007691,63
1007692,63
1007693,221
1007694,62
1007730,221
1007755,129
1007758,129
1007760,194
1007761,194
1007768,176
1007770,216
1007776,216
1007778,216
1007786,11
10078,139
1007819,221
1007821,225
1007823,115
1007824,194
1007852,221
1007853,225
1007854,225
1007855,139
1007857,64
1007862,139
1007881,63
10079,189
1007900,166
1007906,194
1007907,166
1007908,166
1007910,166
1007918,63
1007922,63
1007923,139
1007924,225
1007961,225
1007974,221
1007975,225
1007976,62
1007991,225
1007992,194
1008,221
10080,144
1008223,216
1008224,225
1008225,225
1008226,225
1008228,61
1008274,221
1008275,225
1008277,225
1008278,221
1008279,221
1008280,221
1008282,225
1008283,191
1008284,139
1008285,221
1008349,221
1008374,65
1008376,225
1008394,64
1008395,139
1008471,63
1008472,225
1008483,194
1008487,63
1008488,194
1008489,221
1008490,225
1008491,225
1008492,63
1008498,140
1008500,194
1008501,136
1008505,63
1008506,156
1008511,166
1008523,115
1008524,194
1008525,160
1008526,156
1008527,115
1008528,115
1008530,216
1008554,221
1008555,221
1008556,115
1008557,115
1008558,216
1008559,186
1008561,166
1008568,191
10086,129
1008600,164
1008601,139
1008610,225
1008624,216
1008625,164
1008626,164
1008630,221
1008631,216
1008632,164
1008634,194
1008635,216
1008642,225
1008650,221
1008653,225
1008661,187
1008669,225
1008673,164
1008676,191
1008677,225
1008680,216
1008681,221
1008682,139
1008688,216
1008689,216
1,229
10,221
100,229
1000,225
10000,194
10003,124
10004,121
10006,119
10008,225
10009,194
1001,15
10010,164
1001011,204
1001012,227
1001015,227
1001016,227
1001017,227
1001019,227
1001021,227
1001022,37
1001023,136
1001024,227
1001034,227
1001069,6
1001079,12
1001080,63
1001082,71
1001112,61
1001113,63
1001117,164
10013,216
10014,160
10015,221
1001571,221
1001581,191
1001594,146
1001600,225
1001602,225
1001603,38
1001604,166
1001605,123
1001606,38
1001608,1
1001611,166
1001612,63
1001613,63
1001614,38
1001615,164
1001780,156
1001783,166
1001784,166
1001785,225
1001786,166
1001787,44
1001788,221
1001789,216
1001790,44
1001793,161
10018,225
1001824,225
1001825,11
1001826,216
1001827,187
1001828,216
1001831,227
1001833,216
1001834,221
1001835,194
1001836,123
1001837,216
1001843,221
1001844,221
1001913,221
1001914,225
1001916,216
1001917,221
1001918,221
1001925,187
10020,225
1002063,122
1002069,123
1002080,123
1002081,123
1002083,123
10021,63
1002104,63
1002105,221
1002106,221
1002107,63
1002109,221
1002114,225
1002115,63
1002117,221
1002122,221
1002123,166
1002124,216
1002133,63
1002136,63
1002164,216
1002165,225
1002181,216
1002182,225
1002183,221
1002184,216
1002187,225
1002188,187
1002197,187
1002206,225
1002207,221
1002209,216
1002210,221
1002219,216
1002220,221
1002221,225
1002222,225
1002223,221
1002224,221
1002226,221
1002227,225
1002228,221
1002229,221
1002230,221
1002252,2
10023,229
1002346,2
10024,229
10025,62
1002568,10
1002569,58
1002570,12
1002571,2
1002572,58
1002573,8
1002574,58
10026,194
10027,194
1003,65
10030,187
10032,12
10033,194
1003311,2
1003312,12
1003313,12
1009640,221
1009641,164
1009646,187
1009648,187
1009649,187
1009650,216
1009651,164
1009652,225
1009653,166
1009654,164
1009655,191
1009657,139
1009663,216
1009694,225
1009695,191
1009696,216
10097,186
1009720,225
1009730,225
1009731,221
1009732,187
1009733,225
1009734,216
1009735,187
1009746,216
1009747,216
1009748,221
1009750,216
1009751,216
1009752,216
1009753,216
1009755,225
1009756,225
1009757,63
1009766,216
1009767,187
1009769,225
1009770,216
1009787,225
1009792,216
10098,186
1009813,216
1009814,123
1009817,187
1009818,119
1009819,221
1009820,216
1009822,225
1009823,191
1009826,221
1009827,139
1009828,107
1009829,225
1009830,69
1009831,221
1009832,216
1009833,216
1009834,139
1009835,221
1009836,221
1009837,225
1009838,187
1009839,221
1009848,216
1009878,221
1009885,216
1009894,216
101,225
1010,71
1010048,139
1010071,221
10101,131
1010136,139
1010161,221
10102,123
10105,129
10106,139
10108,225
10109,225
1010953,221
10110,221
1011031,221
10112,191
1011260,74
10113,221
1011374,160
1011375,139
1011376,191
1011377,72
10114,176
10115,191
10116,191
1011695,225
1011696,62
1011697,224
10117,225
1011709,14
1011710,166
1011730,51
10118,71
1011834,1
1011858,62
1011860,14
10120,221
1012103,61
1012110,57
10123,225
10124,36
1012435,186
10125,194
1012551,62
10126,140
1012640,6
1012668,62
1012670,230
1012678,11
1012686,230
1012740,1
1012742,11
1012789,11
1012791,11
10128,141
1012835,2
1012865,11
1012879,230
10129,191
10130,225
10131,225
10132,191
10133,221
10134,221
1013524,221
1013525,194
1013526,166
1013527,122
1013528,221
1013529,221
1013530,221
1013531,221
1013532,221
1013533,221
1013534,221
1013535,221
1013544,221
1013545,221
1013546,221
1013547,221
1013548,221
1013549,221
1013550,221
1013551,221
1013552,221
1013553,221
1013554,221
1013555,221
1013557,221
1013558,221
1013559,221
1013560,221
1013561,221
1013562,221
1013563,221
1013564,221
1013565,15
1013577,2
1013582,221
1013583,221
1013584,221
1013585,221
1013586,221
1013587,221
1013588,221
1013599,74
10136,127
1013642,221
1013643,221
1013691,221
10137,191
1013702,221
1013703,221
1013704,221
1013705,221
1013706,221
1013707,221
1013708,221
1013709,221
1013710,221
1013711,221
1013712,221
1013713,221
1013714,221
1013716,221
1013719,221
1013726,137
1013730,72
1013733,221
1013734,221
1013735,221
1013736,221
1013737,221
1013738,221
1013749,230
1013750,36
1013760,2
1013762,62
1013794,230
1013795,230
1013796,230
1013797,230
10138,142
1013807,230
1013808,230
1013830,11
1013842,230
1013843,62
1013849,230
1013850,62
1013864,230
1013874,11
1013878,11
1013898,11
1013899,11
10139,221
1013900,59
1013910,62
1013911,113
1013912,11
1013916,230
1013917,11
1013922,62
1013939,62
1013953,62
1013987,62
1014,194
10140,221
1014005,225
1014013,53
10141,191
